,county_fips,state_officer_id,asian_stop_percentage,asian_stops,black_stop_percentage,black_stops,other_stop_percentage,other_stops,white_stop_percentage,white_stops,total_population,white,black,asian,hispanic,other,white_percentage,black_percentage,hispanic_percentage,asian_percentage,other_percentage
4171,28149,msC009,,,,,1.0,1.0,,,47834,22970,23123,391,1193,35,0.48020236651753984,0.4834009282100598,0.024940418948864826,0.008174102103106576,0.0007316971192039136
4172,28149,msC010,,,0.4200626959247649,268.0,0.004702194357366771,3.0,0.5752351097178683,367.0,47834,22970,23123,391,1193,35,0.48020236651753984,0.4834009282100598,0.024940418948864826,0.008174102103106576,0.0007316971192039136
4173,28149,msC012,,,0.5294117647058824,9.0,,,0.47058823529411764,8.0,47834,22970,23123,391,1193,35,0.48020236651753984,0.4834009282100598,0.024940418948864826,0.008174102103106576,0.0007316971192039136
4174,28149,msC013,,,0.7575757575757576,25.0,,,0.24242424242424243,8.0,47834,22970,23123,391,1193,35,0.48020236651753984,0.4834009282100598,0.024940418948864826,0.008174102103106576,0.0007316971192039136
4175,28149,msC016,,,1.0,1.0,,,,,47834,22970,23123,391,1193,35,0.48020236651753984,0.4834009282100598,0.024940418948864826,0.008174102103106576,0.0007316971192039136
4176,28149,msC018,,,0.34338358458961477,205.0,0.0016750418760469012,1.0,0.6549413735343383,391.0,47834,22970,23123,391,1193,35,0.48020236651753984,0.4834009282100598,0.024940418948864826,0.008174102103106576,0.0007316971192039136
4177,28149,msC022,,,1.0,4.0,,,,,47834,22970,23123,391,1193,35,0.48020236651753984,0.4834009282100598,0.024940418948864826,0.008174102103106576,0.0007316971192039136
4178,28149,msC023,,,1.0,1.0,,,,,47834,22970,23123,391,1193,35,0.48020236651753984,0.4834009282100598,0.024940418948864826,0.008174102103106576,0.0007316971192039136
4179,28149,msC025,,,,,,,1.0,2.0,47834,22970,23123,391,1193,35,0.48020236651753984,0.4834009282100598,0.024940418948864826,0.008174102103106576,0.0007316971192039136
4180,28149,msC031,,,1.0,3.0,,,,,47834,22970,23123,391,1193,35,0.48020236651753984,0.4834009282100598,0.024940418948864826,0.008174102103106576,0.0007316971192039136
4181,28149,msC032,,,1.0,1.0,,,,,47834,22970,23123,391,1193,35,0.48020236651753984,0.4834009282100598,0.024940418948864826,0.008174102103106576,0.0007316971192039136
4182,28149,msC033,,,0.5675675675675675,21.0,0.02702702702702703,1.0,0.40540540540540543,15.0,47834,22970,23123,391,1193,35,0.48020236651753984,0.4834009282100598,0.024940418948864826,0.008174102103106576,0.0007316971192039136
4183,28149,msC035,,,0.4,4.0,,,0.6,6.0,47834,22970,23123,391,1193,35,0.48020236651753984,0.4834009282100598,0.024940418948864826,0.008174102103106576,0.0007316971192039136
4184,28149,msC038,,,0.08333333333333333,1.0,,,0.9166666666666666,11.0,47834,22970,23123,391,1193,35,0.48020236651753984,0.4834009282100598,0.024940418948864826,0.008174102103106576,0.0007316971192039136
4185,28149,msC044,,,0.6666666666666666,68.0,,,0.3333333333333333,34.0,47834,22970,23123,391,1193,35,0.48020236651753984,0.4834009282100598,0.024940418948864826,0.008174102103106576,0.0007316971192039136
4186,28149,msC045,,,1.0,1.0,,,,,47834,22970,23123,391,1193,35,0.48020236651753984,0.4834009282100598,0.024940418948864826,0.008174102103106576,0.0007316971192039136
4187,28149,msC047,,,1.0,1.0,,,,,47834,22970,23123,391,1193,35,0.48020236651753984,0.4834009282100598,0.024940418948864826,0.008174102103106576,0.0007316971192039136
4188,28149,msC051,,,0.5182291666666666,199.0,,,0.4817708333333333,185.0,47834,22970,23123,391,1193,35,0.48020236651753984,0.4834009282100598,0.024940418948864826,0.008174102103106576,0.0007316971192039136
4189,28149,msC054,,,0.6944444444444444,50.0,,,0.3055555555555556,22.0,47834,22970,23123,391,1193,35,0.48020236651753984,0.4834009282100598,0.024940418948864826,0.008174102103106576,0.0007316971192039136
4190,28149,msC055,,,0.16289592760180996,36.0,0.01809954751131222,4.0,0.8190045248868778,181.0,47834,22970,23123,391,1193,35,0.48020236651753984,0.4834009282100598,0.024940418948864826,0.008174102103106576,0.0007316971192039136
