,county_fips,state_officer_id,black_stop_percentage,black_stops,hispanic_stop_percentage,hispanic_stops,other_stop_percentage,other_stops,white_stop_percentage,white_stops,total_population,white,black,asian,hispanic,other,white_percentage,black_percentage,hispanic_percentage,asian_percentage,other_percentage
4505,45053,scT894,0.38461538461538464,5.0,0.15384615384615385,2.0,,,0.46153846153846156,6.0,27186,11154,11918,198,3668,8,0.4102847053630545,0.4383874052821305,0.1349223865224748,0.007283160450231737,0.0002942691091002722
4506,45053,scT909,0.27539503386004516,244.0,0.08465011286681716,75.0,0.016930022573363433,15.0,0.6230248306997742,552.0,27186,11154,11918,198,3668,8,0.4102847053630545,0.4383874052821305,0.1349223865224748,0.007283160450231737,0.0002942691091002722
4507,45053,scT931,0.24489795918367346,24.0,0.061224489795918366,6.0,0.02040816326530612,2.0,0.673469387755102,66.0,27186,11154,11918,198,3668,8,0.4102847053630545,0.4383874052821305,0.1349223865224748,0.007283160450231737,0.0002942691091002722
4508,45053,scT940,0.33100558659217877,237.0,0.11452513966480447,82.0,0.0013966480446927375,1.0,0.553072625698324,396.0,27186,11154,11918,198,3668,8,0.4102847053630545,0.4383874052821305,0.1349223865224748,0.007283160450231737,0.0002942691091002722
4509,45053,scT942,0.38235294117647056,13.0,0.058823529411764705,2.0,0.029411764705882353,1.0,0.5294117647058824,18.0,27186,11154,11918,198,3668,8,0.4102847053630545,0.4383874052821305,0.1349223865224748,0.007283160450231737,0.0002942691091002722
4510,45053,scT957,1.0,2.0,,,,,,,27186,11154,11918,198,3668,8,0.4102847053630545,0.4383874052821305,0.1349223865224748,0.007283160450231737,0.0002942691091002722
4511,45053,scT958,0.4311279826464208,1590.0,,,0.0008134490238611713,3.0,0.568058568329718,2095.0,27186,11154,11918,198,3668,8,0.4102847053630545,0.4383874052821305,0.1349223865224748,0.007283160450231737,0.0002942691091002722
4512,45053,scT968,0.42804878048780487,351.0,0.03536585365853658,29.0,0.0012195121951219512,1.0,0.5353658536585366,439.0,27186,11154,11918,198,3668,8,0.4102847053630545,0.4383874052821305,0.1349223865224748,0.007283160450231737,0.0002942691091002722
4513,45053,scnan,0.4793320558445114,1751.0,0.06761565836298933,247.0,0.010676156583629894,39.0,0.44237612920886943,1616.0,27186,11154,11918,198,3668,8,0.4102847053630545,0.4383874052821305,0.1349223865224748,0.007283160450231737,0.0002942691091002722
4514,45055,sc10,0.36423841059602646,220.0,0.019867549668874173,12.0,0.0033112582781456954,2.0,0.6125827814569537,370.0,63090,43596,15300,303,2905,142,0.6910128388017118,0.24251069900142652,0.046045332065303535,0.004802662862577271,0.002250752892692978
4515,45055,sc109,1.0,1.0,,,,,,,63090,43596,15300,303,2905,142,0.6910128388017118,0.24251069900142652,0.046045332065303535,0.004802662862577271,0.002250752892692978
4516,45055,sc11,0.5384615384615384,7.0,,,,,0.46153846153846156,6.0,63090,43596,15300,303,2905,142,0.6910128388017118,0.24251069900142652,0.046045332065303535,0.004802662862577271,0.002250752892692978
4517,45055,sc110,0.5,1.0,,,,,0.5,1.0,63090,43596,15300,303,2905,142,0.6910128388017118,0.24251069900142652,0.046045332065303535,0.004802662862577271,0.002250752892692978
4518,45055,sc113,0.7272727272727273,8.0,,,,,0.2727272727272727,3.0,63090,43596,15300,303,2905,142,0.6910128388017118,0.24251069900142652,0.046045332065303535,0.004802662862577271,0.002250752892692978
4519,45055,sc118,0.5,1.0,,,,,0.5,1.0,63090,43596,15300,303,2905,142,0.6910128388017118,0.24251069900142652,0.046045332065303535,0.004802662862577271,0.002250752892692978
4520,45055,sc127,0.5584415584415584,43.0,0.012987012987012988,1.0,,,0.42857142857142855,33.0,63090,43596,15300,303,2905,142,0.6910128388017118,0.24251069900142652,0.046045332065303535,0.004802662862577271,0.002250752892692978
4521,45055,sc129,0.3333333333333333,1.0,,,,,0.6666666666666666,2.0,63090,43596,15300,303,2905,142,0.6910128388017118,0.24251069900142652,0.046045332065303535,0.004802662862577271,0.002250752892692978
4522,45055,sc15,0.5285714285714286,37.0,,,,,0.4714285714285714,33.0,63090,43596,15300,303,2905,142,0.6910128388017118,0.24251069900142652,0.046045332065303535,0.004802662862577271,0.002250752892692978
4523,45055,sc18,0.375,3.0,,,,,0.625,5.0,63090,43596,15300,303,2905,142,0.6910128388017118,0.24251069900142652,0.046045332065303535,0.004802662862577271,0.002250752892692978
