county_fips,asian_stop_percentage,asian_stops,black_stop_percentage,black_stops,other_stop_percentage,other_stops,white_stop_percentage,white_stops,total_population,white,black,asian,hispanic,other,white_percentage,black_percentage,hispanic_percentage,asian_percentage,other_percentage,white_difference,black_difference,asian_difference,other_difference
28021,,,0.7718168812589413,1079.0,0.007868383404864092,11.0,0.22031473533619456,308.0,9209,1162,7822,80,147,19,0.126180909979368,0.8493864697578456,0.015962645238353786,0.008687153871212943,0.0020631990444130743,0.09413382535682654,-0.07756958849890427,,0.005805184360451018
28023,,,0.5332197614991482,313.0,0.0068143100511073255,4.0,0.4599659284497445,270.0,16203,10312,5627,15,180,25,0.6364253533296303,0.3472813676479664,0.011109053878911312,0.0009257544899092761,0.0015429241498487935,-0.17645942487988586,0.18593839385118177,,0.005271385901258532
28025,,,0.7365208545269583,724.0,0.002034587995930824,2.0,0.2614445574771109,257.0,20147,7923,11721,135,257,60,0.3932595423636273,0.5817739613838289,0.012756241624063136,0.00670074949123939,0.0029781108849952845,-0.13181498488651644,0.1547468931431294,,-0.0009435228890644605
28027,0.001135933358576297,3.0,0.6459674365770541,1706.0,0.017796289284361985,47.0,0.33510034078000756,885.0,24804,5446,19126,63,51,9,0.21956136107079505,0.7710853088211579,0.0020561199806482825,0.0025399129172714078,0.000362844702467344,0.11553897970921251,-0.12511787224410376,-0.0014039795586951109,0.017433444581894643
28029,,,0.5640402075226978,3479.0,0.013456549935149158,83.0,0.42250324254215305,2606.0,28780,12889,14774,86,867,13,0.44784572619874913,0.5133425990271021,0.030125086865879083,0.0029881862404447534,0.00045170257123002086,-0.025342483656596082,0.05069760849559568,,0.013004847363919136
28031,,,0.625914315569488,1198.0,0.008359456635318705,16.0,0.3657262277951933,700.0,19503,11936,7239,35,145,13,0.6120084089627237,0.3711736655899092,0.007434753627647029,0.001794595703225145,0.0006665641183407681,-0.24628218116753037,0.25474064997957874,,0.007692892516977937
28033,0.0008038585209003215,1.0,0.4445337620578778,553.0,0.03215434083601286,40.0,0.522508038585209,650.0,170890,115200,42198,2273,8625,540,0.6741178535900286,0.24693077418222248,0.05047106325706595,0.01330095382994909,0.0031599274387032594,-0.15160981500481963,0.19760298787565533,-0.012497095309048767,0.0289944133973096
28035,0.0015462778882261983,7.0,0.39893969516235916,1806.0,0.01877623149988955,85.0,0.5807377954495251,2629.0,76274,43788,28045,701,2411,218,0.5740881558591394,0.3676875475260246,0.03160972284133519,0.009190549859716285,0.002858116789469544,0.00664963959038567,0.03125214763633455,-0.007644271971490087,0.015918114710420008
28037,,,0.5521204914783987,1393.0,0.006341656757827983,16.0,0.4415378517637733,1114.0,7818,4941,2792,3,110,1,0.6320030698388335,0.357124584292658,0.014070094653364031,0.0003837298541826554,0.00012790995139421848,-0.19046521807506017,0.19499590718574072,,0.006213746806433764
28039,0.0004114379757251594,2.0,0.17794692450113145,865.0,0.016663238016868958,81.0,0.8049783995062745,3913.0,23313,20503,1630,287,545,52,0.8794663921417235,0.06991807146227427,0.02337751469137391,0.01231072792004461,0.0022305151632136576,-0.07448799263544903,0.10802885303885718,-0.011899289944319451,0.014432722853655301
28041,,,0.28238583410997203,303.0,0.01863932898415657,20.0,0.6989748369058714,750.0,13941,10004,3557,0,146,35,0.7175955813786672,0.2551466896205437,0.010472706405566315,0.0,0.0025105803027042537,-0.018620744472795825,0.027239144489428324,,0.016128748681452316
28043,0.00037243947858472997,1.0,0.45102420856610803,1211.0,0.0148975791433892,40.0,0.5337057728119181,1433.0,21518,11909,9407,8,26,54,0.5534436285900176,0.43716888186634445,0.0012082907333395296,0.0003717817641044707,0.002509526907705177,-0.0197378557780995,0.013855326699763582,6.577144802592891e-07,0.012388052235684023
28045,0.0020518081559374197,8.0,0.13234162605796357,516.0,0.025904077968709926,101.0,0.8397024878173891,3274.0,46028,39207,4378,101,1896,28,0.8518075953767272,0.09511601633788129,0.04119231771964891,0.002194316502998175,0.0006083253671678109,-0.012105107559338135,0.03722560972008228,-0.00014250834706075553,0.025295752601542116
28047,0.003818008272351257,24.0,0.2303531657651925,1448.0,0.026726057906458798,168.0,0.7391027680559975,4646.0,198570,128944,46926,5646,10976,1546,0.6493629450571586,0.23631968575313492,0.055275217807322356,0.02843329808128116,0.007785667522787934,0.08973982299883887,-0.005966519987942426,-0.024615289808929904,0.018940390383670864
28049,,,0.6502268692049714,3296.0,0.014993095285066088,76.0,0.3347800355099625,1697.0,244596,62951,173790,2032,3798,628,0.25736725048651654,0.7105185693960654,0.015527645587008782,0.008307576575250617,0.002567499059673911,0.07741278502344595,-0.06029170019109398,,0.012425596225392178
28051,0.00022851919561243144,1.0,0.6798446069469836,2975.0,0.013482632541133455,59.0,0.30644424131627057,1341.0,18547,2920,15393,54,65,41,0.15743786057044265,0.8299455437537068,0.0035046099099584837,0.002911522079042433,0.002210600097050736,0.14900638074582792,-0.1501009368067232,-0.0026830028834300013,0.01127203244408272
28053,,,0.6703962703962704,1438.0,0.012587412587412588,27.0,0.317016317016317,680.0,8822,1895,6664,9,322,9,0.2148038993425527,0.7553842666062117,0.03649965994105645,0.0010201768306506462,0.0010201768306506462,0.1022124176737643,-0.08498799620994135,,0.011567235756761942
28055,0.0008688097306689834,1.0,0.3996524761077324,460.0,0.011294526498696786,13.0,0.5881841876629018,677.0,1352,530,814,0,8,0,0.39201183431952663,0.6020710059171598,0.005917159763313609,0.0,0.0,0.19617235334337518,-0.20241852980942737,0.0008688097306689834,0.011294526498696786
28057,,,0.1297037630104083,324.0,0.007205764611689352,18.0,0.8630904723779024,2156.0,23511,21366,1544,58,363,8,0.9087661094806686,0.06567138786100124,0.015439581472502233,0.0024669303730168856,0.00034026625834715664,-0.04567563710276623,0.06403237514940707,,0.006865498353342195
28059,0.003127221037668799,22.0,0.21279317697228145,1497.0,0.036105188343994316,254.0,0.7479744136460554,5262.0,140850,96710,30016,3084,8176,551,0.6866169684061058,0.21310614128505503,0.05804756833510827,0.02189563365282215,0.0039119630812921545,0.06135744523994968,-0.0003129643127735837,-0.018768412615153354,0.03219322526270216
28061,,,0.5372914622178606,1095.0,0.014720314033366046,30.0,0.4479882237487733,913.0,16538,7541,8859,4,56,1,0.4559801668883783,0.5356754141976056,0.0033861410085862863,0.00024186721489902045,6.046680372475511e-05,-0.007991943139604996,0.0016160480202550564,,0.01465984722964129
28063,0.00023540489642184556,1.0,0.8406308851224106,3571.0,0.008239171374764594,35.0,0.150894538606403,641.0,7528,993,6488,37,10,0,0.1319075451647184,0.8618490967056323,0.001328374070138151,0.004914984059511158,0.0,0.018986993441684613,-0.02121821158322168,-0.004679579163089313,0.008239171374764594
28065,,,0.6043388429752066,585.0,0.010330578512396695,10.0,0.3853305785123967,373.0,11771,4501,7209,0,40,0,0.38238042647183756,0.6124373460198793,0.003398181972644635,0.0,0.0,0.002950152040559151,-0.008098503044672745,,0.010330578512396695
28067,0.0005158627805003869,2.0,0.4325509414495744,1677.0,0.010833118390508125,42.0,0.556100077379417,2156.0,68313,44406,19807,378,2913,300,0.6500373281805806,0.2899448128467495,0.042641956874972554,0.005533353827236397,0.004391550656536823,-0.09393725080116355,0.1426061286028249,-0.00501749104673601,0.006441567733971302
28069,0.0007898894154818325,2.0,0.49921011058451814,1264.0,0.011848341232227487,30.0,0.4881516587677725,1236.0,10128,3445,6106,0,151,379,0.34014612954186413,0.6028830963665087,0.01490916271721959,0.0,0.03742101105845182,0.14800552922590837,-0.10367298578199058,0.0007898894154818325,-0.02557266982622433
28071,0.0025,3.0,0.38666666666666666,464.0,0.023333333333333334,28.0,0.5875,705.0,52193,36825,12473,1001,1307,98,0.7055543846876018,0.23897840706608167,0.02504167225490008,0.01917881708275056,0.001877646427681873,-0.11805438468760177,0.147688259600585,-0.016678817082750562,0.02145568690565146
28073,0.0011775095672652341,4.0,0.38239623196938477,1299.0,0.008831321754489255,30.0,0.6075949367088608,2064.0,59623,44600,11863,844,1490,101,0.748033477013904,0.198966841655066,0.024990356070643878,0.014155611089680158,0.0016939771564664643,-0.1404385403050432,0.18342939031431876,-0.012978101522414923,0.007137344598022791
28075,0.0006651147322913202,6.0,0.3537301851236005,3191.0,0.024387540184015077,220.0,0.6212171599600931,5604.0,79233,42156,33661,625,1889,142,0.5320510393396691,0.4248356114245327,0.02384107631921043,0.007888127421655119,0.0017921825502000429,0.08916612062042395,-0.0711054263009322,-0.007223012689363799,0.022595357633815035
28077,,,0.45200698080279234,259.0,0.008726003490401396,5.0,0.5392670157068062,309.0,12603,8249,4154,0,81,31,0.6545266999920654,0.3296040625247957,0.006427041180671268,0.0,0.002459731809886535,-0.11525968428525912,0.12240291827799665,,0.006266271680514861
28079,0.0018558614290133002,6.0,0.5156201670275287,1667.0,0.07114135477884317,230.0,0.4113826167646149,1330.0,23011,10985,9561,74,987,1333,0.4773803832949459,0.4154969362478814,0.04289252965972796,0.0032158532875581243,0.057928816652905134,-0.06599776653033101,0.10012323077964724,-0.001359991858544824,0.01321253812593804
28081,0.0007897334649555774,4.0,0.32833168805528135,1663.0,0.01994076999012833,101.0,0.6509378084896348,3297.0,85281,56962,24170,659,2246,557,0.66793306832706,0.2834160012194979,0.026336464159660417,0.007727395316659045,0.006531349304065384,-0.016995259837425225,0.04491568683578345,-0.006937661851703468,0.013409420686062948
28083,,,0.8637715645449138,1452.0,0.004759071980963712,8.0,0.13146936347412255,221.0,30500,7138,22191,222,761,10,0.2340327868852459,0.7275737704918033,0.02495081967213115,0.007278688524590164,0.0003278688524590164,-0.10256342341112334,0.1361977940531105,,0.004431203128504696
