,county_fips,asian_population,asian_percentage,asian_stop_percentage,asian_stops,black_population,black_percentage,black_stop_percentage,black_stops,hispanic_population,hispanic_percentage,hispanic_stop_percentage,hispanic_stops,other_population,other_percentage,other_stop_percentage,other_stops,total_population,white_population,white_percentage,white_stop_percentage,white_stops,total_stops,white_stop_proportion_excess,black_stop_proportion_excess,hispanic_stop_proportion_excess,asian_stop_proportion_excess,other_stop_proportion_excess,location_text
559,51079,273,0.014304427560911713,0.025829055650615173,634.0,1159,0.060728320670683775,0.09793856432820013,2404.0,1001,0.05244956772334294,0.033365925201662185,819.0,38,0.001991092481006025,0.010429397865232623,256.0,19085,16120,0.8446423893109772,0.8324370569542899,20433.0,24546.0,-0.014450295783336009,0.6127329596235545,-0.363847470056221,0.8056685974065587,4.238027848893808,"Census Tract 301.01, Greene County, Virginia"
560,51081,19,0.0016242092665412892,0.015400391535378016,826.0,6726,0.5749700803556164,0.3874895124452317,20783.0,498,0.04257137972302958,0.05718280973245082,3067.0,17,0.0014532398700632587,0.0264938939125571,1421.0,11698,4371,0.3736536160027355,0.5134333923743823,27538.0,53635.0,0.3740891841673586,-0.32607012836986016,0.3432219041168869,8.481777904255368,17.23091594053488,"Census Tract 8801.01, Greensville County, Virginia"
561,51083,244,0.006911202379266393,0.006368465531812146,211.0,12905,0.3655289619034131,0.3817155619944465,12647.0,754,0.021356748335929755,0.01998068332729688,662.0,93,0.002634187792097437,0.004406615960400821,146.0,35305,21142,0.5988386914034839,0.5875286731860437,19466.0,33132.0,-0.01888658561946477,0.044282674638816966,-0.06443232775833374,-0.07853001803021387,0.6728556610962468,"Census Tract 9301, Halifax County, Virginia"
562,51085,1392,0.013620485523341715,0.02689159637613246,2152.0,9207,0.090088944118827,0.3476288659793814,27819.0,2763,0.02703548958404681,0.058531708840987184,4684.0,291,0.002847385982250316,0.025517025929397058,2042.0,102199,86555,0.8469260951672717,0.5414308028741018,43328.0,80025.0,-0.36071068542625695,2.8587294964947105,1.1649953354469957,0.9743493233077307,7.961561968929381,"Census Tract 3201, Hanover County, Virginia"
563,51087,24502,0.07611184110387331,0.023943559883060718,1982.0,94062,0.2921896987149021,0.3483171857256759,28833.0,17957,0.055780766088574525,0.04916765324119935,4070.0,1359,0.0042215326120383576,0.024475102080262868,2026.0,321921,176826,0.5492838305049996,0.5540964990698012,45867.0,82778.0,0.008761715341915055,0.19209262769232338,-0.11855543247423639,-0.6854160990484537,4.797681631184917,"Census Tract 2001.04, Henrico County, Virginia"
564,51089,297,0.005688674366488536,0.0043826447268815495,220.0,11563,0.22147522457813787,0.26903462289334235,13505.0,3011,0.05767204888046123,0.05466353241164987,2744.0,155,0.002968836790591661,0.0020319534642814453,102.0,52209,36778,0.7044379321572909,0.6698872465038448,33627.0,50198.0,-0.04904716807006271,0.2147391357466497,-0.052165937004374774,-0.22958417998060998,-0.31557252634406474,"Census Tract 101, Henry County, Virginia"
565,51091,0,0.0,0.011358671909130624,104.0,0,0.0,0.015072083879423331,138.0,0,0.0,0.015072083879423331,138.0,4,0.0017937219730941704,0.0040410659676714715,37.0,2230,2220,0.9955156950672646,0.9544560943643512,8739.0,9156.0,-0.04124455385923276,inf,inf,inf,1.2528942769768454,"Census Tract 9701, Highland County, Virginia"
566,51093,318,0.008826713298359564,0.005231555793353546,176.0,8049,0.2234157715047048,0.3953391593841032,13300.0,1052,0.02920032198073667,0.01860769276499613,626.0,52,0.001443361923002193,0.009303846382498069,313.0,36027,25532,0.7086907041940766,0.5715177456750491,19227.0,33642.0,-0.1935582867211737,0.7695221636390963,-0.3627572744823996,-0.40730421205299316,5.445955261966498,"Census Tract 2801.01, Isle of Wight County, Virginia"
567,51095,1933,0.026884561891516,0.01328946798839877,307.0,9352,0.13006954102920726,0.2293407211809013,5298.0,4148,0.05769123783031989,0.037703995498030385,871.0,273,0.0037969401947148813,0.008008311328513916,185.0,71900,54904,0.7636161335187761,0.7116575040041556,16440.0,23101.0,-0.06804286503899926,0.7632161947077416,-0.34645195845988797,-0.5056840411971695,1.1091486612459729,"Census Tract 801.01, James City County, Virginia"
568,51097,11,0.0015406162464985994,0.008318209316394435,110.0,1891,0.2648459383753501,0.21166061705989112,2799.0,233,0.03263305322128852,0.025181488203266787,333.0,46,0.006442577030812325,0.003176043557168784,42.0,7140,4714,0.6602240896358543,0.7516636418632789,9940.0,13224.0,0.1384977519948689,-0.20081607307899374,-0.22834409540203926,4.399274047186934,-0.50702280438728,"Census Tract 9504, King and Queen County, Virginia"
569,51099,379,0.010447390908840313,0.008478502594514456,183.0,4558,0.12564434765829588,0.29674759080800595,6405.0,2027,0.05587562367340188,0.03465530022238696,748.0,125,0.003445709402651818,0.004864714603409933,105.0,36277,28285,0.7796951236320534,0.6552538917716827,14143.0,21584.0,-0.15960242418945259,1.361806132457664,-0.37977783612849936,-0.18845741788601356,0.4118180133432172,"Census Tract 401, King George County, Virginia"
570,51101,133,0.008232235701906412,0.005010438413361169,72.0,2993,0.18525625154741274,0.2334725121781489,3355.0,137,0.008479821738053974,0.02032011134307585,292.0,250,0.015474127259222582,0.0073068893528183704,105.0,16156,12320,0.7625649913344887,0.7338900487125957,10546.0,14370.0,-0.03760327702916433,0.2602679274140238,1.3962899186768865,-0.39136358641907487,-0.5277995824634657,"Census Tract 9501.01, King William County, Virginia"
571,51103,40,0.003618272274988693,0.0038071065989847717,36.0,3119,0.2821347806422433,0.3589255499153977,3394.0,186,0.01682496607869742,0.019141285956006768,181.0,0,0.0,0.0017978003384094754,17.0,11055,7593,0.6868385345997287,0.6163282571912013,5828.0,9456.0,-0.10265917512857492,0.27217760638497035,0.1376715927078218,0.05218908629441632,inf,"Census Tract 301, Lancaster County, Virginia"
572,51105,38,0.0015254305326963993,0.000914719954967633,26.0,1027,0.04122676729155795,0.01020264565156206,290.0,501,0.020111597286339367,0.005945679707289615,169.0,105,0.004215005419292682,0.001020264565156206,29.0,24911,23153,0.929428766408414,0.9819166901210244,27910.0,28424.0,0.05647331523365606,-0.7525237528470667,-0.7043656143946275,-0.400352926363192,-0.7579446611180357,"Census Tract 9501, Lee County, Virginia"
573,51107,60009,0.16557175769448315,0.06595988646403128,7018.0,25634,0.07072716487094237,0.12054737871012615,12826.0,52689,0.1453750327644957,0.10812233312656253,11504.0,3225,0.00889814725399037,0.035122840654899526,3737.0,362435,212241,0.5855974174679598,0.6702475610443805,71313.0,106398.0,0.14455347829646503,0.7043999845051327,-0.25625239031437896,-0.6016235656219704,2.9472082954289953,"Census Tract 6101.01, Loudoun County, Virginia"
574,51109,193,0.00561863173216885,0.019922071392659627,634.0,5387,0.15682678311499273,0.1981523378582202,6306.0,899,0.026171761280931585,0.031485671191553544,1002.0,324,0.00943231441048035,0.010903720462543991,347.0,34350,26605,0.7745269286754003,0.7395361990950227,23535.0,31824.0,-0.04517690513384598,0.263510823358059,0.20303982806436527,2.545715815222063,0.1559962897789693,"Census Tract 9501, Louisa County, Virginia"
575,51111,327,0.026265060240963856,0.004031097034264325,42.0,3907,0.31381526104417673,0.4053172089451963,4223.0,581,0.04666666666666667,0.04031097034264325,420.0,32,0.002570281124497992,0.005470774546501585,57.0,12450,7454,0.5987148594377509,0.5448699491313945,5677.0,10419.0,-0.08993414721144855,0.2915790251772954,-0.1361934926576447,-0.8465224523651657,1.1284732219982727,"Census Tract 9301, Lunenburg County, Virginia"
576,51113,106,0.008078036884621245,0.05277939182645749,1090.0,934,0.07117817405883249,0.16037187681580475,3312.0,370,0.028196921201036423,0.04633933759442185,957.0,8,0.0006096631611034902,0.014235909355026147,294.0,13122,11181,0.8520804755372656,0.7262734844082898,14999.0,20652.0,-0.1476468417488973,1.2531046762066276,0.6434183457135234,5.533690373082786,22.35045031958164,"Census Tract 9301, Madison County, Virginia"
577,51115,47,0.005311934900542496,0.003537735849056604,9.0,869,0.09821428571428573,0.16745283018867926,426.0,127,0.014353526220614829,0.009040880503144656,23.0,51,0.005764014466546112,0.002751572327044025,7.0,8848,7610,0.8600813743218807,0.8172169811320755,2079.0,2544.0,-0.04983760196365261,0.7049742710120068,-0.3701282622691031,-0.33400240867121644,-0.5226291774571464,"Census Tract 9513, Mathews County, Virginia"
